repo_name,repo_link,stars,language,topic_name,description
gatsbyjs / gatsby,https://github.com/gatsbyjs/gatsby,55.8k,JavaScript,GraphQL,"The best React-based framework with performance, scalability and security built in."
prettier / prettier,https://github.com/prettier/prettier,50.2k,JavaScript,GraphQL,Prettier is an opinionated code formatter.
TanStack / query,https://github.com/TanStack/query,44.5k,TypeScript,GraphQL,"🤖 Powerful asynchronous state management, server-state utilities and data fetching for the web. TS/JS, React Query, Solid Query, Svelte Query and Vue Query."
Kong / insomnia,https://github.com/Kong/insomnia,35.9k,JavaScript,GraphQL,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage."
mislav / hub,https://github.com/mislav/hub,22.9k,Go,Homebrew,A command-line tool that makes git easier to use with GitHub.
Homebrew / homebrew-cask,https://github.com/Homebrew/homebrew-cask,21.2k,Ruby,Homebrew,🍻 A CLI workflow for the administration of macOS applications distributed as binaries
Caldis / Mos,https://github.com/Caldis/Mos,16.2k,Swift,Homebrew,"一个用于在 macOS 上平滑你的鼠标滚动效果或单独设置滚动方向的小工具, 让你的滚轮爽如触控板 | A lightweight tool used to smooth scrolling and set scroll direction independently for your mouse on macOS"
simonmichael / hledger,https://github.com/simonmichael/hledger,3.2k,Haskell,Haskell,"Robust, fast, intuitive plain text accounting tool with CLI, TUI and web interfaces."
grafana / grafana,https://github.com/grafana/grafana,67.3k,TypeScript,Hacktoberfest,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more."
sdmg15 / Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,66.5k,Unknown,Hacktoberfest,🔗 Some useful websites for programmers.
strapi / strapi,https://github.com/strapi/strapi,65.9k,TypeScript,Hacktoberfest,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first."
summerblue / phphub5,https://github.com/summerblue/phphub5,1.9k,PHP,Gulp,"PHPHub Ver 5 is a Forum project Powered by Laravel 5.1, and it is also the project build up PHP & Laravel China community （此项目已弃用）"
PatrickJS / NG6-starter,https://github.com/PatrickJS/NG6-starter,1.9k,JavaScript,Gulp,🆖 An AngularJS Starter repo for AngularJS + ES6 + Webpack
nicejade / Front-end-tutorial,https://github.com/nicejade/Front-end-tutorial,1.7k,PHP,Gulp,🐼 最全的资源教程-前端涉及的所有知识体系，并在 Nice Front-end Tutorial 持续更新；
luangjokaj / wordpressify,https://github.com/luangjokaj/wordpressify,1.6k,PHP,Gulp,🎈 Automate your WordPress development workflow.
payloadcms / payload,https://github.com/payloadcms/payload,33.7k,TypeScript,GraphQL,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications."
hasura / graphql-engine,https://github.com/hasura/graphql-engine,31.4k,TypeScript,GraphQL,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events."
refinedev / refine,https://github.com/refinedev/refine,30.4k,TypeScript,GraphQL,"A React Framework for building internal tools, admin panels, dashboards & B2B apps with unmatched flexibility."
directus / directus,https://github.com/directus/directus,29.7k,TypeScript,GraphQL,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more."
goreleaser / goreleaser,https://github.com/goreleaser/goreleaser,14.4k,Go,Homebrew,"Release engineering, simplified"
Homebrew / homebrew-core,https://github.com/Homebrew/homebrew-core,14.1k,Ruby,Homebrew,🍻 Default formulae for the missing package manager for macOS (or Linux)
mas-cli / mas,https://github.com/mas-cli/mas,11.3k,Swift,Homebrew,📦 Mac App Store command line interface
flatlogic / angular-material-dashboard,https://github.com/flatlogic/angular-material-dashboard,1.4k,JavaScript,Gulp,Angular admin dashboard with material design
logeshpaul / Frontend-Cheat-Sheets,https://github.com/logeshpaul/Frontend-Cheat-Sheets,1.1k,Unknown,Gulp,"Collection of cheat sheets(HTML, CSS, JS, Git, Gulp, etc.,) for your frontend development needs & reference"
FountainJS / generator-fountain-webapp,https://github.com/FountainJS/generator-fountain-webapp,962,JavaScript,Gulp,Yeoman 'fountain' generator to start a webapp
nicejade / nice-front-end-tutorial,https://github.com/nicejade/nice-front-end-tutorial,939,Unknown,Gulp,"🌍 Constantly updated front-end resources, tutorials, opinions（与时俱进版前端资源，教程和意见。）"
heyverse / hey,https://github.com/heyverse/hey,28.5k,TypeScript,GraphQL,Hey is a decentralized and permissionless social media app built with Lens Protocol 🌿
twentyhq / twenty,https://github.com/twentyhq/twenty,27.4k,TypeScript,GraphQL,"Building a modern alternative to Salesforce, powered by the community."
marmelab / react-admin,https://github.com/marmelab/react-admin,25.6k,TypeScript,GraphQL,"A frontend Framework for single-page applications on top of REST/GraphQL APIs, using TypeScript, React and Material Design"
kriasoft / react-starter-kit,https://github.com/kriasoft/react-starter-kit,22.9k,TypeScript,GraphQL,The web's most popular Jamstack front-end template (boilerplate) for building web applications with React
pubkey / rxdb,https://github.com/pubkey/rxdb,22.2k,TypeScript,GraphQL,"A fast, local first, reactive Database for JavaScript Applications"
IdreesInc / Monocraft,https://github.com/IdreesInc/Monocraft,8.7k,Python,Homebrew,A monospaced programming font inspired by the Minecraft typeface
diasurgical / DevilutionX,https://github.com/diasurgical/DevilutionX,8.6k,C++,Homebrew,Diablo build for modern operating systems
geerlingguy / mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,6.4k,Shell,Homebrew,Mac setup and configuration via Ansible.
LumaTeam / Luma3DS,https://github.com/LumaTeam/Luma3DS,5.6k,C,Homebrew,"Nintendo 3DS ""Custom Firmware"""
themesberg / neumorphism-ui-bootstrap,https://github.com/themesberg/neumorphism-ui-bootstrap,857,HTML,Gulp,"Neumorphism inspired UI Kit: web components, sections and pages in neumorphic style built with Bootstrap CSS Framework"
saleor / saleor,https://github.com/saleor/saleor,21.3k,Python,GraphQL,"Saleor Core: the high performance, composable, headless commerce API."
parse-community / parse-server,https://github.com/parse-community/parse-server,21.1k,JavaScript,GraphQL,Parse Server for Node.js / Express
graphql / graphql-js,https://github.com/graphql/graphql-js,20.2k,TypeScript,GraphQL,A reference implementation of GraphQL for JavaScript
apollographql / apollo-client,https://github.com/apollographql/apollo-client,19.5k,TypeScript,GraphQL,"🚀  A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server."
milanvarady / Applite,https://github.com/milanvarady/Applite,4.8k,Swift,Homebrew,User-friendly GUI macOS application for Homebrew Casks
mock-server / mockserver,https://github.com/mock-server/mockserver,4.7k,Java,Homebrew,"MockServer enables easy mocking of any system you integrate with via HTTP or HTTPS with clients written in Java, JavaScript and Ruby. MockServer also includes a proxy that introspects all proxied traffic including encrypted SSL traffic and supports Port Forwarding, Web Proxying (i.e. HTTP proxy), HTTPS Tunneling Proxying (using HTTP CONNECT) and…"
paulirish / dotfiles,https://github.com/paulirish/dotfiles,4.2k,Shell,Homebrew,"paul's fish, bash, git, etc config files. good stuff."
whalebrew / whalebrew,https://github.com/whalebrew/whalebrew,4.2k,Go,Homebrew,"Homebrew, but with Docker images"
redwoodjs / redwood,https://github.com/redwoodjs/redwood,17.6k,TypeScript,GraphQL,The App Framework for Startups
cointop-sh / cointop,https://github.com/cointop-sh/cointop,4.2k,Go,Homebrew,A fast and lightweight interactive terminal based UI application for tracking cryptocurrencies 🚀
dotenvx / dotenvx,https://github.com/dotenvx/dotenvx,3.5k,JavaScript,Homebrew,a better dotenv–from the creator of `dotenv`
nicoverbruggen / phpmon,https://github.com/nicoverbruggen/phpmon,3.1k,Swift,Homebrew,"Lightweight, native Mac menu bar app that helps you manage multiple PHP installations, locate config files and more. Also interacts with Laravel Valet."
buresdv / Cork,https://github.com/buresdv/Cork,3k,Swift,Homebrew,A fast GUI for Homebrew written in SwiftUI
Homebrew / homebrew-cask-fonts,https://github.com/Homebrew/homebrew-cask-fonts,2.8k,Unknown,Homebrew,💀 Casks of Ｆ🅾𝓝𝐓𝚂 (deprecated)
homebridge / homebridge,https://github.com/homebridge/homebridge,24.5k,TypeScript,Homebridge,HomeKit support for the impatient.
homebridge / homebridge-config-ui-x,https://github.com/homebridge/homebridge-config-ui-x,2.7k,TypeScript,Homebridge,"The Homebridge UI. Monitor, configure and backup Homebridge from a browser."
homebridge / docker-homebridge,https://github.com/homebridge/docker-homebridge,2.6k,Shell,Homebridge,"Homebridge Docker. HomeKit support for the impatient using Docker on x86_64, Raspberry Pi (armhf) and ARM64. Includes ffmpeg + libfdk-aac."
hjdhjd / homebridge-unifi-protect,https://github.com/hjdhjd/homebridge-unifi-protect,1.6k,TypeScript,Homebridge,"📹 Complete HomeKit integration for all UniFi Protect device types with full support for most features including HomeKit Secure Video, and more."
dgreif / ring,https://github.com/dgreif/ring,1.3k,TypeScript,Homebridge,"Unofficial packages for Ring Doorbells, Cameras, Alarm System, and Smart Lighting"
homebridge-plugins / homebridge-camera-ffmpeg,https://github.com/homebridge-plugins/homebridge-camera-ffmpeg,1.1k,TypeScript,Homebridge,Homebridge Plugin Providing FFmpeg-based Camera Support
YinHangCode / homebridge-mi-aqara,https://github.com/YinHangCode/homebridge-mi-aqara,1.1k,JavaScript,Homebridge,a homebridge plugin for XiaoMi Aqara plugin.
homebridge / homebridge-raspbian-image,https://github.com/homebridge/homebridge-raspbian-image,1.1k,Shell,Homebridge,Official Homebridge Raspberry Pi Image based on Raspberry Pi OS Lite.
seydx / camera.ui,https://github.com/seydx/camera.ui,795,Vue,Homebridge,NVR like user Interface for RTSP capable cameras
seydx / homebridge-camera-ui,https://github.com/seydx/homebridge-camera-ui,675,JavaScript,Homebridge,"Homebridge plugin for RTSP Cameras with HSV, motion detection support, Image Rekognition, Web UI to manage/watch streams and WebApp support"
merdok / homebridge-webos-tv,https://github.com/merdok/homebridge-webos-tv,674,JavaScript,Homebridge,Homebridge plugin for LG webOS TVs
tavicu / homebridge-samsung-tizen,https://github.com/tavicu/homebridge-samsung-tizen,660,JavaScript,Homebridge,Homebridge plugin for Samsung TV's with Tizen OS
sieren / Homepoint,https://github.com/sieren/Homepoint,639,C,Homebridge,Espressif ESP32 Based Smarthome screen for MQTT
twbs / bootstrap,https://github.com/twbs/bootstrap,172k,JavaScript,HTML,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
homebridge / homebridge-syno-spk,https://github.com/homebridge/homebridge-syno-spk,624,Shell,Homebridge,Homebridge Package for Synology DSM 7.
lprhodes / homebridge-broadlink-rm,https://github.com/lprhodes/homebridge-broadlink-rm,575,JavaScript,Homebridge,Broadlink RM Mini and Pro plugin for homebridge:
hjdhjd / homebridge-myq,https://github.com/hjdhjd/homebridge-myq,565,TypeScript,Homebridge,🚗 myQ Liftmaster and Chamberlain Plugin for Homebridge
hoobs-org / HOOBS,https://github.com/hoobs-org/HOOBS,557,Shell,Homebridge,"Build your Smart Home with HOOBS. Connect over 2,000 Accessories to your favorite Ecosystem."
Chalarangelo / 30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123k,JavaScript,HTML,Coding articles to level up your development skills
electron / electron,https://github.com/electron/electron,116k,C++,HTML,"Build cross-platform desktop apps with JavaScript, HTML, and CSS"
microsoft / Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,87k,JavaScript,HTML,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
storybookjs / storybook,https://github.com/storybookjs/storybook,86.3k,TypeScript,HTML,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
florinpop17 / app-ideas,https://github.com/florinpop17/app-ideas,82.8k,Unknown,HTML,A Collection of application ideas which can be used to improve your coding skills.
taligentx / dscKeybusInterface,https://github.com/taligentx/dscKeybusInterface,542,C++,Homebridge,An Arduino/esp8266/esp32 library to directly interface with DSC security systems.
homebridge-plugins / homebridge-govee,https://github.com/homebridge-plugins/homebridge-govee,529,JavaScript,Homebridge,Homebridge plugin to integrate Govee devices into HomeKit.
plasticrake / homebridge-tplink-smarthome,https://github.com/plasticrake/homebridge-tplink-smarthome,501,TypeScript,Homebridge,TP-Link Smarthome Plugin for Homebridge
thedaviddias / Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,69.7k,Unknown,HTML,🗂 The perfect Front-End Checklist for modern websites and meticulous developers
h5bp / html5-boilerplate,https://github.com/h5bp/html5-boilerplate,56.9k,JavaScript,HTML,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
rails / rails,https://github.com/rails/rails,56.7k,Ruby,HTML,Ruby on Rails
prettier / prettier,https://github.com/prettier/prettier,50.2k,JavaScript,HTML,Prettier is an opinionated code formatter.
hoppscotch / hoppscotch,https://github.com/hoppscotch/hoppscotch,70.7k,TypeScript,HTTP,Open source API development ecosystem -
jgthms / bulma,https://github.com/jgthms/bulma,49.7k,CSS,HTML,Modern CSS framework based on Flexbox
Asabeneh / 30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,44.2k,JavaScript,HTML,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days, please just follow your own pace. These videos may help too:"
bigskysoftware / htmx,https://github.com/bigskysoftware/htmx,44.1k,JavaScript,HTML,</> htmx - high power tools for HTML
vercel / hyper,https://github.com/vercel/hyper,43.8k,TypeScript,HTML,A terminal built on web technologies
caddyserver / caddy,https://github.com/caddyserver/caddy,62.6k,Go,HTTP,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS
psf / requests,https://github.com/psf/requests,52.7k,Python,HTTP,"A simple, yet elegant, HTTP library."
ngosang / trackerslist,https://github.com/ngosang/trackerslist,49.3k,Unknown,HTTP,Updated list of public BitTorrent trackers
apache / dubbo,https://github.com/apache/dubbo,40.9k,Java,HTTP,The java implementation of Apache Dubbo. An RPC and microservice framework.
parcel-bundler / parcel,https://github.com/parcel-bundler/parcel,43.7k,JavaScript,HTML,The zero configuration build tool for the web. 📦🚀
yangshun / front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,42.7k,MDX,HTML,🌐 Front End interview preparation materials for busy engineers
tabler / tabler,https://github.com/tabler/tabler,39k,MDX,HTML,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap
videojs / video.js,https://github.com/videojs/video.js,38.6k,JavaScript,HTML,Video.js - open source HTML5 video player
NaiboWang / EasySpider,https://github.com/NaiboWang/EasySpider,38.3k,JavaScript,HTML,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。
mitmproxy / mitmproxy,https://github.com/mitmproxy/mitmproxy,38.6k,Python,HTTP,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
curl / curl,https://github.com/curl/curl,37.3k,C,HTTP,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
aria2 / aria2,https://github.com/aria2/aria2,37.2k,C++,HTTP,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink."
httpie / cli,https://github.com/httpie/cli,35.2k,Python,HTTP,"🥧 HTTPie CLI — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more."
QuivrHQ / quivr,https://github.com/QuivrHQ/quivr,37.6k,Python,HTML,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want."
ehang-io / nps,https://github.com/ehang-io/nps,31.6k,Go,HTTP,"一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal."
chinabugotech / hutool,https://github.com/chinabugotech/hutool,29.7k,Java,HTTP,🍬A set of tools that keep Java sweet.
nginx / nginx,https://github.com/nginx/nginx,26.4k,C,HTTP,The official NGINX Open Source repository.
locustio / locust,https://github.com/locustio/locust,25.9k,Python,HTTP,Write scalable load tests in plain Python 🚗💨
PostgREST / postgrest,https://github.com/PostgREST/postgrest,25.1k,Haskell,HTTP,REST API for any Postgres database
vapor / vapor,https://github.com/vapor/vapor,25k,Swift,HTTP,💧 A server-side Swift HTTP web framework.
tsenart / vegeta,https://github.com/tsenart/vegeta,24.1k,Go,HTTP,HTTP load testing tool and library. It's over 9000!
go-kratos / kratos,https://github.com/go-kratos/kratos,24.1k,Go,HTTP,Your ultimate Go microservices framework for the cloud-native era.
jhao104 / proxy_pool,https://github.com/jhao104/proxy_pool,22.2k,Python,HTTP,Python ProxyPool for web spider
gorilla / mux,https://github.com/gorilla/mux,21.2k,Go,HTTP,Package gorilla/mux is a powerful HTTP router and URL matcher for building Go web servers with 🦍
go-chi / chi,https://github.com/go-chi/chi,19.4k,Go,HTTP,"lightweight, idiomatic and composable router for building Go HTTP services"
ryanoasis / nerd-fonts,https://github.com/ryanoasis/nerd-fonts,57.1k,CSS,Icon font,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more"
neutraltone / awesome-stock-resources,https://github.com/neutraltone/awesome-stock-resources,13.3k,Unknown,Icon font,"🌇 A collection of links for free stock photography, video and Illustration websites"
akveo / eva-icons,https://github.com/akveo/eva-icons,8.6k,TypeScript,Icon font,"A pack of more than 480 beautifully crafted Open Source icons. SVG, Sketch, Web Font and Animations support."
Remix-Design / RemixIcon,https://github.com/Remix-Design/RemixIcon,7.3k,Less,Icon font,Open source neutral style icon system
ecomfe / fontmin,https://github.com/ecomfe/fontmin,5.9k,JavaScript,Icon font,Minify font seamlessly
mikepenz / Android-Iconics,https://github.com/mikepenz/Android-Iconics,5.2k,Kotlin,Icon font,"Android-Iconics - Use any icon font, or vector (.svg) as drawable in your application."
phosphor-icons / homepage,https://github.com/phosphor-icons/homepage,4.9k,TypeScript,Icon font,"The homepage of Phosphor Icons, a flexible icon family for everyone"
refscn / rplibs,https://github.com/refscn/rplibs,3.1k,HTML,Icon font,Refs.cn 原型设计元件库，基于Axure RP 11/10/9，支持 Android、Apple、Windows、微信，移动、桌面平台的应用和网站原型设计。
atisawd / boxicons,https://github.com/atisawd/boxicons,3.1k,CSS,Icon font,High Quality web friendly icons
coreui / coreui-icons,https://github.com/coreui/coreui-icons,2k,TypeScript,Icon font,"CoreUI Free Icons - Premium designed free icon set with marks in SVG, Webfont and raster formats"
keremciu / sketch-iconfont,https://github.com/keremciu/sketch-iconfont,2k,JavaScript,Icon font,This plugin helps you easily insert and manage icons from icon fonts.
brabadu / awesome-fonts,https://github.com/brabadu/awesome-fonts,1.7k,Unknown,Icon font,Curated list of fonts and everything
home-assistant / Iconic,https://github.com/home-assistant/Iconic,1.6k,Swift,Icon font,"🎨 Auto-generated icon font library for iOS, watchOS and tvOS"
vkarampinis / awesome-icons,https://github.com/vkarampinis/awesome-icons,1.4k,Unknown,Icon font,A curated list of awesome Web Font Icons
ForkAwesome / Fork-Awesome,https://github.com/ForkAwesome/Fork-Awesome,1.3k,HTML,Icon font,DEPRECATED. A fork of the iconic font and CSS toolkit
phosphor-icons / react,https://github.com/phosphor-icons/react,1.3k,TypeScript,Icon font,A flexible icon family for React
dongjunkun / GanK,https://github.com/dongjunkun/GanK,1.2k,Java,Icon font,干货集中营
leungwensen / svg-icon,https://github.com/leungwensen/svg-icon,1.1k,JavaScript,Icon font,"An ultimate SVG icons collection DONE RIGHT, with over 10,000 SVG icons out of the box."
Richard9394 / MingCute,https://github.com/Richard9394/MingCute,999,CSS,Icon font,"Carefully Designed Icon Library. MingCute is a set of simple and exquisite open-source icon library. Whether you're a designer or a developer, it's perfect for use in web and mobile."
pfefferle / openwebicons,https://github.com/pfefferle/openwebicons,853,HTML,Icon font,A font!
ipfs / ipfs,https://github.com/ipfs/ipfs,22.8k,Unknown,IPFS,Peer-to-peer hypermedia protocol
ipfs / kubo,https://github.com/ipfs/kubo,16.4k,Go,IPFS,An IPFS implementation in Go
smartcontractkit / full-blockchain-solidity-course-js,https://github.com/smartcontractkit/full-blockchain-solidity-course-js,13.2k,Unknown,IPFS,"Learn Blockchain, Solidity, and Full Stack Web3 Development with Javascript"
TeamPiped / Piped,https://github.com/TeamPiped/Piped,8.9k,Vue,IPFS,An alternative privacy-friendly YouTube frontend which is efficient by design.
orbitdb / orbitdb,https://github.com/orbitdb/orbitdb,8.5k,JavaScript,IPFS,Peer-to-Peer Databases for the Decentralized Web
berty / berty,https://github.com/berty/berty,7.8k,TypeScript,IPFS,"Berty is a secure peer-to-peer messaging app that works with or without internet access, cellular data or trust in the network"
ipfs / js-ipfs,https://github.com/ipfs/js-ipfs,7.4k,JavaScript,IPFS,IPFS implementation in JavaScript
ipfs / ipfs-desktop,https://github.com/ipfs/ipfs-desktop,6.2k,JavaScript,IPFS,"An unobtrusive and user-friendly desktop application for IPFS on Windows, Mac and Linux."
soketi / soketi,https://github.com/soketi/soketi,5.2k,TypeScript,IPFS,"Next-gen, Pusher-compatible, open-source WebSockets server. Simple, fast, and resilient. 📣"
ipfs / awesome-ipfs,https://github.com/ipfs/awesome-ipfs,4.4k,JavaScript,IPFS,"Community list of awesome projects, apps, tools, pinning services and more related to IPFS."
hoochanlon / fq-book,https://github.com/hoochanlon/fq-book,4k,Shell,IPFS,📖《网络代理与VPN应用详解》 详细阐述代理、隧道、VPN运作过程，并对GFW策略如：地址端口封锁、服务器缓存投毒、数字验证攻击、SSL连接阻断做相关的原理说明
embarklabs / embark,https://github.com/embarklabs/embark,3.8k,JavaScript,IPFS,"Framework for serverless Decentralized Applications using Ethereum, IPFS and other platforms"
yjjnls / awesome-blockchain,https://github.com/yjjnls/awesome-blockchain,3.4k,Go,IPFS,⚡️Curated list of resources for the development and applications of blockchain.
graphprotocol / graph-node,https://github.com/graphprotocol/graph-node,3k,Rust,IPFS,Graph Node indexes data from blockchains such as Ethereum and serves it over GraphQL
freeCodeCamp / freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,415k,TypeScript,JavaScript,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
filecoin-project / lotus,https://github.com/filecoin-project/lotus,2.9k,Go,IPFS,"Reference implementation of the Filecoin protocol, written in Go"
libp2p / js-libp2p,https://github.com/libp2p/js-libp2p,2.4k,TypeScript,IPFS,The JavaScript Implementation of libp2p networking stack.
ipfs / ipfs-companion,https://github.com/ipfs/ipfs-companion,2.1k,JavaScript,IPFS,Browser extension that simplifies access to IPFS resources on the web
Peergos / Peergos,https://github.com/Peergos/Peergos,2.1k,Java,IPFS,"A p2p, secure file storage, social network and application protocol"
facebook / react,https://github.com/facebook/react,234k,JavaScript,JavaScript,The library for web and native user interfaces.
practical-tutorials / project-based-learning,https://github.com/practical-tutorials/project-based-learning,223k,Unknown,JavaScript,Curated list of project-based tutorials
vuejs / vue,https://github.com/vuejs/vue,209k,TypeScript,JavaScript,"This is the repo for Vue 2. For Vue 3, go to"
trekhleb / javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,191k,JavaScript,JavaScript,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
getify / You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,182k,Unknown,JavaScript,A book series (2 published editions) on the JS language.
TryQuiet / quiet,https://github.com/TryQuiet/quiet,2.1k,C,IPFS,"A private, p2p alternative to Slack and Discord built on Tor & IPFS"
ipfs / public-gateway-checker,https://github.com/ipfs/public-gateway-checker,1.9k,TypeScript,IPFS,Checks which public gateways are online or not
twbs / bootstrap,https://github.com/twbs/bootstrap,172k,JavaScript,JavaScript,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
airbnb / javascript,https://github.com/airbnb/javascript,146k,JavaScript,JavaScript,JavaScript Style Guide
Chalarangelo / 30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,123k,JavaScript,JavaScript,Coding articles to level up your development skills
electron / electron,https://github.com/electron/electron,116k,C++,JavaScript,"Build cross-platform desktop apps with JavaScript, HTML, and CSS"
justjavac / free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113k,Unknown,JavaScript,📚 免费的计算机编程类中文书籍，欢迎投稿
nodejs / node,https://github.com/nodejs/node,110k,JavaScript,JavaScript,Node.js JavaScript runtime ✨🐢🚀✨
axios / axios,https://github.com/axios/axios,107k,JavaScript,JavaScript,Promise based HTTP client for the browser and node.js
mrdoob / three.js,https://github.com/mrdoob/three.js,105k,JavaScript,JavaScript,JavaScript 3D Library.
microsoft / TypeScript,https://github.com/microsoft/TypeScript,104k,TypeScript,JavaScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
flutter / flutter,https://github.com/flutter/flutter,169k,Dart,iOS,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
denoland / deno,https://github.com/denoland/deno,102k,Rust,JavaScript,A modern runtime for JavaScript and TypeScript.
goldbergyoni / nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,102k,Dockerfile,JavaScript,✅ The Node.js best practices list (July 2024)
angular / angular,https://github.com/angular/angular,97.4k,TypeScript,JavaScript,Deliver web apps with confidence 🚀
ryanmcdermott / clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,92.7k,JavaScript,JavaScript,Clean Code concepts adapted for JavaScript
facebook / react-native,https://github.com/facebook/react-native,121k,C++,iOS,A framework for building native applications using React
justjavac / free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113k,Unknown,iOS,📚 免费的计算机编程类中文书籍，欢迎投稿
Solido / awesome-flutter,https://github.com/Solido/awesome-flutter,55.3k,Dart,iOS,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more."
ultralytics / yolov5,https://github.com/ultralytics/yolov5,53.2k,Python,iOS,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
microsoft / Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,87k,JavaScript,JavaScript,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
FiloSottile / mkcert,https://github.com/FiloSottile/mkcert,52.9k,Go,iOS,A simple zero-config tool to make locally trusted development certificates with any names you'd like.
ionic-team / ionic-framework,https://github.com/ionic-team/ionic-framework,51.6k,TypeScript,iOS,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript."
google / material-design-icons,https://github.com/google/material-design-icons,51.3k,Unknown,iOS,Material Design icons by Google (Material Symbols)
vsouza / awesome-ios,https://github.com/vsouza/awesome-ios,48.6k,Swift,iOS,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects"
CyC2018 / CS-Notes,https://github.com/CyC2018/CS-Notes,180k,Unknown,Java,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
appwrite / appwrite,https://github.com/appwrite/appwrite,47.9k,TypeScript,iOS,Build like a team of hundreds_
dkhamsing / open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,44.5k,Unknown,iOS,📱 Collaborative List of Open-Source iOS Apps
